Title,Year,Certificate,Length,Genre,Rating
The Stanford Prison Experiment,2015,R,122,"Biography, Drama, History            ",6.8
Capricorn One,1977,PG,123,"Action, Adventure, Drama            ",6.8
The Last Seduction,1994,R,110,"Crime, Drama, Romance            ",7.0
House on Haunted Hill,1959,Approved,75,"Crime, Horror, Mystery            ",6.8
Local Hero,1983,PG,111,"Comedy, Drama            ",7.3
Malibus Most Wanted,2003,PG-13,86,"Comedy, Crime            ",5.2
Shaolin,2011,R,131,"Action, Drama            ",6.8
The Pagemaster,1994,G,80,"Animation, Adventure, Comedy            ",6.1
Creepshow 2,1987,R,92,"Fantasy, Horror            ",6.0
Thief,1981,R,123,"Action, Crime, Drama            ",7.4
Agneepath,2012,Not Rated,174,"Action, Crime, Drama            ",6.9
Monsieur Lazhar,2011,PG-13,95,"Comedy, Drama            ",7.5
Crimson Rivers 2: Angels of the Apocalypse,2004,R,100,"Action, Crime, Mystery            ",5.9
Beowulf & Grendel,2005,R,103,"Action, Adventure, Drama            ",5.8
Marshland,2014,TV-MA,105,"Crime, Mystery, Thriller            ",7.2
Thunderbolt and Lightfoot,1974,R,115,"Action, Comedy, Crime            ",7.0
Meet the Feebles,1989,Not Rated,97,"Comedy, Music, Musical            ",6.6
Quick Change,1990,R,89,"Comedy, Crime            ",6.8
The Big Bounce,2004,PG-13,88,"Comedy, Crime            ",4.9
Basquiat,1996,R,107,"Biography, Drama            ",6.9
Brassed Off,1996,R,108,"Comedy, Drama, Music            ",7.2
Nancy Drew,2007,PG,99,"Comedy, Crime, Family            ",5.9
Little Boy,2015,PG-13,106,"Drama, History, War            ",7.3
The Ox-Bow Incident,1943,Passed,75,"Drama, Western            ",8.0
Muppet Treasure Island,1996,G,99,"Action, Adventure, Comedy            ",6.9
Angels with Dirty Faces,1938,Passed,97,"Crime, Drama, Film-Noir            ",7.9
Mildred Pierce,1945,Approved,111,"Crime, Drama, Film-Noir            ",7.9
Aint Them Bodies Saints,2013,R,96,"Crime, Drama, Romance            ",6.4
Spy Kids 4: All the Time in the World,2011,PG,89,"Action, Adventure, Comedy            ",3.5
The Mummy,1932,Approved,73,"Fantasy, Horror            ",7.0
How Green Was My Valley,1941,Passed,118,"Drama, Family            ",7.7
Revenge of the Pink Panther,1978,PG,99,"Comedy, Crime, Mystery            ",6.6
Europa,1991,R,112,"Drama, Thriller            ",7.6
The Freshman,1990,PG,102,"Comedy, Crime            ",6.5
Colonia,2015,R,110,"Biography, Drama, History            ",7.0
Get on Up,2014,PG-13,139,"Biography, Drama, Music            ",6.9
No Escape,1994,R,118,"Action, Drama, Sci-Fi            ",6.1
Center Stage,2000,PG-13,115,"Drama, Music, Romance            ",6.7
Maximum Risk,1996,R,101,"Action, Crime, Thriller            ",5.5
Drop Zone,1994,R,101,"Action, Adventure, Thriller            ",5.6
The Gauntlet,1977,R,109,"Action, Crime, Thriller            ",6.4
Croupier,1998,Not Rated,94,"Crime, Drama            ",7.0
Valiant,2005,G,76,"Animation, Adventure, Comedy            ",5.5
Prince Avalanche,2013,R,94,"Comedy, Drama            ",6.3
A Better Tomorrow,1986,Not Rated,95,"Action, Crime, Drama            ",7.4
Shelter,2007,R,97,"Drama, Romance, Sport            ",7.6
A Monster in Paris,2011,PG,90,"Animation, Adventure, Comedy            ",6.7
Appleseed,2004,R,101,"Animation, Action, Adventure            ",6.9
Cargo,2009,Not Rated,112,"Drama, Mystery, Sci-Fi            ",6.1
Holiday,2014,R,160,"Action, Crime, Thriller            ",7.2
The Limits of Control,2009,R,116,"Crime, Drama, Mystery            ",6.2
Zombie Strippers!,2008,R,94,"Comedy, Horror, Sci-Fi            ",4.1
Tape,2001,R,86,Drama            ,7.2
The Crow: City of Angels,1996,PG,84,"Action, Crime, Fantasy            ",4.6
Deck the Halls,2006,Not Rated,93,"Comedy, Family            ",5.0
Thuppakki,2012,Not Rated,165,"Action, Thriller            ",8.1
Adams Rib,1949,R,101,"Comedy, Romance            ",7.4
Sound of My Voice,2011,PG,85,"Drama, Mystery, Sci-Fi            ",6.6
White Fang,1991,R,107,"Adventure, Drama, Family            ",6.7
Klute,1971,R,114,"Crime, Mystery, Thriller            ",7.1
Miracle at St. Anna,2008,R,160,"Action, Drama, War            ",6.1
Three... Extremes,2004,PG-13,125,Horror            ,6.9
Quartet,2012,Not Rated,98,"Comedy, Drama, Music            ",6.8
Black Narcissus,1947,R,101,Drama            ,7.7
The Boss,2016,PG-13,99,Comedy            ,5.4
Picture Perfect,1997,R,101,"Comedy, Drama, Romance            ",5.5
Red Rock West,1993,R,98,"Crime, Drama, Thriller            ",7.0
Hick,2011,Not Rated,99,"Comedy, Drama            ",5.5
Killers Kiss,1955,PG,67,"Crime, Drama, Film-Noir            ",6.6
Earth to Echo,2014,R,91,"Adventure, Family, Sci-Fi            ",5.7
Good Kill,2014,PG,102,"Drama, Thriller, War            ",6.4
Diary of a Wimpy Kid: Dog Days,2012,R,94,"Comedy, Family            ",6.3
Bad Ass,2012,PG-13,90,"Action, Comedy, Crime            ",5.4
Get Over It,2001,PG,87,"Comedy, Romance            ",5.7
Alice Doesnt Live Here Anymore,1974,R,112,"Drama, Romance            ",7.3
Dead Snow 2: Red vs. Dead,2014,Not Rated,100,"Action, Comedy, Fantasy            ",6.8
Krrish 3,2013,PG,152,"Action, Adventure, Sci-Fi            ",5.3
Are We Done Yet?,2007,Approved,92,"Comedy, Family            ",4.3
My Man Godfrey,1936,R,94,"Comedy, Drama, Romance            ",7.9
The Chaos Class Failed the Class,1975,Not Rated,95,Comedy            ,8.9
Dr. T & the Women,2000,G,122,"Comedy, Drama, Romance            ",4.7
Marty,1955,PG,90,"Drama, Romance            ",7.7
Winnie the Pooh,2011,R,63,"Animation, Adventure, Comedy            ",7.1
Underdog,2007,R,84,"Action, Adventure, Comedy            ",4.8
The Object of My Affection,1998,Not Rated,111,"Comedy, Drama, Romance            ",6.0
Faces in the Crowd,2011,PG,103,"Crime, Drama, Mystery            ",5.7
Three Steps Above Heaven,2010,R,118,"Action, Drama, Romance            ",6.8
The Extraordinary Adventures of Adèle Blanc-Sec,2010,PG-13,107,"Action, Adventure, Comedy            ",6.3
Im Still Here,2010,PG,108,"Comedy, Drama, Music            ",6.2
Chinese Zodiac,2012,PG-13,109,"Action, Adventure, Comedy            ",6.0
Only You,1994,R,109,"Comedy, Romance            ",6.5
Mystery Science Theater 3000: The Movie,1996,R,73,"Comedy, Drama, Fantasy            ",7.2
Human Nature,2001,PG,96,"Comedy, Drama            ",6.4
2 Days in the Valley,1996,PG,104,"Comedy, Crime, Thriller            ",6.5
The Year of Living Dangerously,1982,R,115,"Drama, Romance, War            ",7.1
The Flintstones in Viva Rock Vegas,2000,R,90,"Comedy, Family, Romance            ",3.7
Lifeforce,1985,R,101,"Action, Horror, Mystery            ",6.1
The Ledge,2011,R,101,"Drama, Romance, Thriller            ",6.5
The Beat That My Heart Skipped,2005,Not Rated,108,"Crime, Drama, Music            ",7.2
The Fly,1958,Not Rated,94,"Drama, Horror, Sci-Fi            ",7.1
Henrys Crime,2010,R,108,"Comedy, Crime, Drama            ",5.9
The Flight of the Phoenix,1965,Not Rated,142,"Adventure, Drama            ",7.5
Newsies,1992,PG,121,"Drama, Family, History            ",6.9
The Sure Thing,1985,PG-13,95,"Comedy, Drama, Romance            ",7.0
My Blue Heaven,1990,PG-13,97,"Comedy, Crime            ",6.2
Autumn Sonata,1978,PG,99,"Drama, Music            ",8.1
Margot at the Wedding,2007,R,91,"Comedy, Drama            ",6.0
The Numbers Station,2013,R,89,"Action, Thriller            ",5.6
Sommersby,1993,PG-13,114,"Drama, Mystery, Romance            ",6.2
